imgid,Yellow,Green,Cyan,Blue,Magenta
masked,2.40453,92.77767,3.93906,0.87875,0.0
masked,8.78285,84.76791,5.39134,1.0579,0.0
masked,12.71716,82.32312,4.23133,0.72839,0.0
masked,13.50706,81.61727,4.22214,0.65352,0.0
masked,32.30732,61.85773,5.25327,0.58168,0.0
masked,16.85058,77.38376,5.2691,0.49656,0.0
masked,18.56499,77.50784,3.44463,0.48254,0.0
masked,62.3662,32.83037,4.41396,0.38947,0.0
masked,58.1697,37.97379,3.60764,0.24888,0.0
masked,42.94768,53.46854,3.17354,0.41023,0.0
masked,67.40204,26.96036,5.19866,0.43894,0.0
masked,41.09074,54.10797,4.38331,0.41798,0.0
masked,56.32082,38.93,4.46864,0.28053,0.0
masked,64.29733,28.52273,6.5076,0.67234,0.0
masked,51.6679,41.0624,6.61611,0.65359,0.0
masked,62.82699,31.45005,5.13811,0.58486,0.0
masked,65.0351,28.71796,5.79257,0.45437,0.0
masked,22.08423,76.44125,1.29253,0.182,0.0
masked,26.68788,71.29299,1.74185,0.27728,0.0
masked,15.91378,78.33933,4.89179,0.8551,0.0
masked,33.10507,61.77118,4.66396,0.45979,0.0
masked,83.6874,12.54362,3.48107,0.28791,0.0
masked,36.38786,58.04873,4.80748,0.75593,0.0
masked,44.00822,49.74937,5.52944,0.71297,0.0
masked,39.45374,53.60431,6.21772,0.72423,0.0
masked,35.69262,58.10625,5.47367,0.72745,0.0
masked,5.60608,92.53856,1.30067,0.5547,0.0
masked,7.57246,89.05036,2.75848,0.61871,0.0
masked,28.52056,69.56209,1.65029,0.26706,0.0
masked,54.25568,41.77557,3.45564,0.51311,0.0
masked,21.62667,76.35841,1.87652,0.1384,0.0
masked,45.77469,50.87073,3.07758,0.277,0.0
masked,29.37357,65.02669,5.05284,0.5469,0.0
masked,45.10264,49.86728,4.78455,0.24553,0.0
masked,53.41891,42.37336,3.87491,0.33281,0.0
masked,49.26066,45.87229,4.35648,0.51058,0.0
masked,35.75717,62.01362,2.10476,0.12446,0.0
masked,36.99442,57.84043,4.79837,0.36678,0.0
masked,33.32174,61.44494,4.64797,0.58535,0.0
masked,63.96076,29.07751,6.42533,0.5364,0.0
masked,67.71794,25.80558,6.00181,0.47466,0.0
masked,64.61524,30.63724,4.27781,0.46972,0.0
masked,68.26308,24.77098,6.54052,0.42542,0.0
masked,78.37342,14.26665,6.6954,0.66453,0.0
masked,52.81303,41.5753,5.16062,0.45104,0.0
masked,61.52138,31.54602,6.03894,0.89366,0.0
masked,44.80443,50.42116,4.32792,0.44649,0.0
masked,30.1626,64.50658,4.73647,0.59435,0.0
masked,72.93315,20.31711,6.14149,0.60824,0.0
masked,79.3776,15.02162,5.092,0.50878,0.0
masked,52.35524,40.94076,6.00727,0.69674,0.0
masked,19.40932,74.53411,5.3716,0.68497,0.0
masked,20.08286,73.43798,5.72387,0.75529,0.0
masked,23.68865,70.56335,5.04183,0.70617,0.0
masked,10.28935,83.41602,5.42858,0.86605,0.0
masked,11.14211,82.31476,5.72083,0.8223,0.0
masked,22.26009,70.62372,6.25609,0.86011,0.0
masked,59.00152,35.27449,5.27625,0.44773,0.0
masked,41.44139,51.43021,6.27662,0.85178,0.0
masked,41.77191,49.13408,8.41337,0.68063,0.0
masked,53.16755,39.0976,7.15893,0.57592,0.0
masked,54.59016,37.56706,7.06781,0.77496,0.0
masked,50.01809,41.96642,7.06014,0.95534,0.0
masked,31.44904,63.28871,4.55812,0.70412,0.0
masked,43.53568,48.93089,7.03694,0.49649,0.0
masked,30.50169,59.84746,8.61695,1.0339,0.0
masked,57.11846,37.51965,4.89021,0.47167,0.0
masked,41.30079,51.84255,6.41366,0.443,0.0
masked,41.64755,52.0079,5.73768,0.60687,0.0
masked,55.95631,38.23441,5.32917,0.48011,0.0
masked,73.16412,20.42477,5.97233,0.43878,0.0
masked,62.55899,32.40088,4.61688,0.42325,0.0
masked,58.02116,35.88328,5.6158,0.47976,0.0
masked,83.52895,10.3104,5.65445,0.5062,0.0
masked,31.38483,63.07482,4.96159,0.57876,0.0
masked,50.77829,42.9598,5.4671,0.7948,0.0
masked,39.7514,53.59442,6.1025,0.55168,0.0
masked,32.22193,60.1603,7.00348,0.61428,0.0
masked,29.55602,64.50159,4.92459,1.0178,0.0
masked,57.68896,35.96153,5.93653,0.41298,0.0
masked,45.54136,49.31271,4.66174,0.4842,0.0
masked,71.09028,22.07384,6.36862,0.46726,0.0
masked,69.34783,25.56262,4.8261,0.26345,0.0
masked,65.94682,26.73094,6.74915,0.57309,0.0
masked,68.78563,25.06521,5.68289,0.46627,0.0
masked,79.58242,13.9583,5.89468,0.56459,0.0
masked,75.47929,18.16932,5.85148,0.49991,0.0
masked,33.67161,59.26085,6.41632,0.65122,0.0
masked,35.29888,56.98911,6.89834,0.81367,0.0
masked,42.76044,50.53307,5.98569,0.7208,0.0
masked,39.68464,53.61156,5.98621,0.71759,0.0
masked,46.90496,44.53387,7.74451,0.81666,0.0
masked,21.39617,72.21164,5.13176,1.26043,0.0
masked,70.81526,21.76117,6.90097,0.5226,0.0
masked,62.64062,31.54531,5.39994,0.41413,0.0
masked,67.13143,25.89715,6.50472,0.46669,0.0
masked,73.71362,18.59211,7.0987,0.59556,0.0
masked,56.74247,36.7069,6.14661,0.40401,0.0
masked,46.43848,47.41559,5.55909,0.58684,0.0
masked,65.231,27.26444,7.03343,0.47112,0.0
masked,58.48677,32.91868,8.02912,0.56543,0.0
masked,42.24657,49.87513,7.13759,0.74072,0.0
masked,24.67151,63.71909,10.78919,0.82021,0.0
masked,30.42006,62.76807,6.15601,0.65587,0.0
masked,39.10818,53.39586,6.71614,0.77983,0.0
masked,47.69749,44.93368,6.27203,1.09681,0.0
masked,54.47,38.74003,6.18873,0.60123,0.0
masked,53.52319,39.72033,5.75034,1.00614,0.0
masked,59.23883,33.15315,6.98658,0.62144,0.0
masked,58.11449,35.72763,5.53249,0.62539,0.0
masked,44.44768,49.4548,5.39967,0.69786,0.0
masked,22.85673,71.33081,5.0233,0.78917,0.0
masked,17.64917,75.8385,5.8509,0.66143,0.0
masked,18.09365,77.06211,4.3079,0.53634,0.0
masked,25.33945,68.53595,5.69749,0.42711,0.0
masked,13.10189,81.21258,4.86792,0.81761,0.0
masked,7.84942,86.21546,5.19824,0.73688,0.0
masked,28.32415,63.12971,7.84755,0.6986,0.0
masked,40.76482,51.63721,6.98623,0.61174,0.0
masked,27.80942,62.36682,9.05984,0.76392,0.0
masked,44.07744,48.9344,6.12937,0.8588,0.0
masked,29.55872,63.31907,6.23576,0.88646,0.0
masked,33.48245,57.47208,8.27112,0.77436,0.0
masked,46.46887,48.60291,4.21288,0.71535,0.0
masked,28.94037,66.80219,3.64631,0.61113,0.0
masked,54.63426,40.81954,4.11178,0.43443,0.0
masked,24.83183,70.77476,3.87613,0.51728,0.0
masked,63.57363,29.62341,6.24208,0.56088,0.0
masked,53.11541,41.79946,4.61913,0.466,0.0
masked,80.35526,14.75622,4.55916,0.32936,0.0
masked,81.02337,13.57013,5.03379,0.37271,0.0
masked,90.15292,5.44506,4.09485,0.30717,0.0
masked,74.27365,18.97194,6.255,0.49941,0.0
masked,86.18594,10.8719,2.71242,0.22974,0.0
masked,45.16252,49.73151,4.49534,0.61063,0.0
masked,35.83343,57.09659,6.25333,0.81666,0.0
masked,59.28466,34.82607,5.32582,0.56345,0.0
masked,68.85525,25.50732,5.08945,0.54798,0.0
masked,19.98925,72.9142,6.34068,0.75587,0.0
masked,21.39485,72.49148,5.21425,0.89942,0.0
masked,35.80376,59.17579,4.53009,0.49036,0.0
masked,19.40388,74.83305,5.26902,0.49406,0.0
masked,21.56016,72.32001,5.40644,0.71339,0.0
masked,18.08291,77.485,3.82252,0.60956,0.0
masked,55.95986,37.81002,5.68961,0.54051,0.0
masked,14.7499,79.22271,5.0924,0.93499,0.0
masked,56.07052,37.57446,5.86083,0.49419,0.0
masked,50.65143,42.56891,6.37565,0.40401,0.0
masked,18.44414,76.13042,4.40356,1.02188,0.0
masked,38.54376,56.87866,4.23767,0.33991,0.0
masked,37.12149,56.43393,5.5931,0.85147,0.0
masked,30.52169,62.97697,5.84513,0.6562,0.0
masked,38.53691,55.41477,5.33691,0.71141,0.0
masked,45.97816,47.57318,5.85982,0.58884,0.0
masked,38.32857,56.46859,4.6118,0.59104,0.0
masked,22.12706,73.35765,4.03294,0.48235,0.0
masked,22.85993,72.88797,3.85225,0.39985,0.0
masked,29.02483,65.59856,4.58871,0.7879,0.0
masked,23.48661,70.61401,5.28266,0.61672,0.0
masked,55.88452,38.78077,4.90223,0.43248,0.0
masked,41.66215,52.64658,5.1424,0.54887,0.0
masked,38.8516,55.4852,5.06536,0.59784,0.0
masked,30.47553,62.79518,6.23753,0.49177,0.0
masked,35.20288,60.40069,4.00687,0.38956,0.0
masked,45.70745,48.72619,4.99053,0.57583,0.0
masked,41.03037,52.93995,5.46538,0.5643,0.0
masked,35.03979,59.62908,4.82152,0.50961,0.0
masked,18.27445,76.23541,4.81947,0.67067,0.0
masked,16.00264,79.38575,4.05491,0.5567,0.0
masked,10.23456,85.69,3.43219,0.64325,0.0
masked,12.80256,83.01814,3.43102,0.74828,0.0
masked,28.21319,67.85802,3.47754,0.45125,0.0
masked,19.88018,75.26226,4.38094,0.47663,0.0
masked,23.46394,69.94185,5.83901,0.7552,0.0
masked,35.41228,58.10186,6.03705,0.44881,0.0
masked,31.82084,60.6577,6.97388,0.54757,0.0
masked,26.32532,67.0287,5.83463,0.81135,0.0
masked,19.66797,72.73735,7.0199,0.57478,0.0
masked,40.27958,54.50838,4.72172,0.49032,0.0
masked,13.21817,82.26092,3.90297,0.61795,0.0
masked,18.28587,77.29078,3.97103,0.45232,0.0
masked,18.35336,77.77735,3.31626,0.55303,0.0
masked,18.23795,76.16025,4.93245,0.66935,0.0
masked,18.99839,75.50464,4.92189,0.57507,0.0
masked,17.49633,78.43285,3.61198,0.45883,0.0
masked,38.1871,57.13996,4.19799,0.47495,0.0
masked,34.39319,60.79189,4.46385,0.35106,0.0
masked,34.9415,61.5691,3.05813,0.43127,0.0
masked,27.79835,68.07741,3.63488,0.48935,0.0
masked,33.75769,60.482,5.0242,0.73611,0.0
masked,26.12574,69.32657,3.98426,0.56343,0.0
masked,26.88595,67.39262,5.20845,0.51297,0.0
masked,27.45635,65.61106,6.29859,0.634,0.0
masked,28.88545,65.24862,5.30243,0.56349,0.0
masked,26.96466,64.94188,7.20063,0.89283,0.0
masked,26.52599,68.26391,4.65228,0.55782,0.0
masked,23.69178,69.96889,5.70774,0.63159,0.0
masked,25.97454,67.14968,5.88135,0.99443,0.0
masked,41.61601,51.5257,6.10577,0.75252,0.0
masked,30.49849,60.79284,7.41143,1.29725,0.0
masked,49.37718,46.33204,4.0323,0.25848,0.0
masked,41.97973,52.88508,4.54178,0.59341,0.0
masked,34.39603,58.63521,6.09465,0.87411,0.0
masked,29.56918,65.03774,4.73585,0.65723,0.0
masked,41.85404,53.4026,4.24576,0.4976,0.0
masked,49.44402,45.67223,4.58891,0.29484,0.0
masked,52.25431,43.27586,4.06034,0.40948,0.0
masked,13.46006,80.52244,5.36568,0.65181,0.0
masked,11.86192,81.99059,5.23657,0.91092,0.0
masked,12.03337,81.74074,5.56196,0.66393,0.0
masked,18.26019,76.44804,4.67877,0.61301,0.0
masked,17.17879,77.29807,4.80747,0.71567,0.0
masked,13.94602,81.37439,4.21829,0.4613,0.0
masked,26.55878,68.83344,3.99583,0.61195,0.0
masked,12.71489,82.76068,3.7857,0.73873,0.0
masked,13.80715,79.64311,5.19805,1.3517,0.0
masked,29.75399,64.74861,5.0988,0.39861,0.0
masked,41.39971,51.60175,6.25379,0.74475,0.0
masked,29.21778,66.16099,3.97764,0.64358,0.0
masked,33.0157,63.07309,3.42393,0.48728,0.0
masked,20.67866,74.01472,4.52984,0.77678,0.0
masked,11.7989,81.91299,5.42153,0.86657,0.0
masked,17.05076,78.16173,4.31829,0.46922,0.0
masked,12.84382,82.06375,4.23743,0.855,0.0
masked,17.54228,78.09459,3.92611,0.43702,0.0
masked,14.67212,79.64585,4.97178,0.71025,0.0
masked,15.19932,79.26004,4.95714,0.5835,0.0
masked,14.47635,79.72732,5.24131,0.55502,0.0
masked,18.19523,76.69764,4.77635,0.33078,0.0
masked,11.89075,83.09537,4.6586,0.35528,0.0
masked,11.83986,83.71128,3.97544,0.47342,0.0
masked,33.88013,61.73595,4.09767,0.28624,0.0
masked,39.06849,55.14034,5.37464,0.41653,0.0
masked,14.30201,81.1904,4.12873,0.37886,0.0
masked,51.01988,42.32255,6.12702,0.53054,0.0
masked,29.0286,64.54266,5.6938,0.73493,0.0
masked,24.03395,70.58185,4.72043,0.66377,0.0
masked,19.0666,74.04003,6.01746,0.87591,0.0
masked,25.69476,68.56866,5.18841,0.54816,0.0
masked,26.22199,69.05843,4.15041,0.56916,0.0
masked,26.58807,68.48092,4.38404,0.54697,0.0
masked,35.39641,61.12802,3.04999,0.42558,0.0
masked,32.6383,63.28747,3.72789,0.34634,0.0
masked,32.54287,63.94108,3.10167,0.41438,0.0
masked,28.01095,67.24128,4.00692,0.74085,0.0
masked,43.69323,51.64302,3.84733,0.81641,0.0
masked,22.45663,73.29914,3.66509,0.57913,0.0
masked,6.36978,89.94316,3.01975,0.66731,0.0
masked,7.24914,87.88085,4.01156,0.85845,0.0
masked,7.82113,87.61721,3.89075,0.67091,0.0
masked,6.18421,89.67344,3.46719,0.67515,0.0
masked,6.33729,88.59704,4.38295,0.68272,0.0
masked,7.54312,85.93515,5.8771,0.64464,0.0
masked,5.30787,90.07346,4.08976,0.52892,0.0
masked,4.16916,91.8958,3.28502,0.65003,0.0
masked,9.94916,85.35244,3.92817,0.77023,0.0
masked,10.89335,84.72871,3.62162,0.75633,0.0
masked,4.40866,91.7074,3.33004,0.55389,0.0
masked,3.13,94.03227,2.37169,0.46604,0.0
masked,3.64167,91.40984,4.38656,0.56193,0.0
masked,4.70309,89.91154,4.50546,0.87992,0.0
masked,11.09116,85.05586,3.48126,0.37172,0.0
masked,6.61243,88.6557,4.06375,0.66812,0.0
masked,8.22521,87.54415,3.66215,0.56849,0.0
masked,14.11233,81.23316,4.07718,0.57732,0.0
masked,10.28477,83.5301,5.35807,0.82706,0.0
masked,10.06479,85.81478,3.55806,0.56236,0.0
masked,42.09643,51.29489,5.71652,0.89216,0.0
masked,42.36353,51.62285,5.27078,0.74284,0.0
masked,34.9035,58.06564,6.51663,0.51422,0.0
masked,39.30606,53.95262,6.09471,0.64662,0.0
masked,27.20919,66.72628,5.53032,0.53421,0.0
masked,33.93471,61.15285,4.41813,0.49432,0.0
masked,30.24107,64.57121,4.65415,0.53357,0.0
masked,18.56106,74.3041,6.11718,1.01766,0.0
masked,20.49066,74.00787,4.88888,0.61259,0.0
masked,21.88415,72.6508,4.87143,0.59362,0.0
masked,23.75372,70.0202,5.05952,1.16656,0.0
masked,29.81234,62.61708,6.72866,0.84193,0.0
masked,25.42579,67.28231,6.47388,0.81802,0.0
masked,41.70524,51.69637,5.85326,0.74513,0.0
masked,24.00124,68.87732,6.04254,1.0789,0.0
masked,27.24469,64.00961,7.44048,1.30522,0.0
masked,48.41746,46.3131,4.71207,0.55737,0.0
masked,43.06252,49.74294,6.39797,0.79657,0.0
masked,40.97567,52.3072,6.26758,0.44955,0.0
masked,49.78286,43.73067,5.88194,0.60452,0.0
masked,39.81088,53.62058,5.90718,0.66136,0.0
masked,36.43112,54.83224,8.01663,0.72001,0.0
masked,43.88321,49.42263,6.01122,0.68294,0.0
masked,8.65763,86.65915,3.87775,0.80547,0.0
masked,4.81995,89.3289,4.87925,0.9719,0.0
masked,13.28908,81.37967,4.55812,0.77314,0.0
masked,15.85732,78.76538,4.49507,0.88223,0.0
masked,16.41203,79.06111,3.69147,0.83539,0.0
masked,15.70186,78.95264,4.39881,0.94669,0.0
masked,13.41981,81.16601,4.67614,0.73805,0.0
masked,26.5022,68.56932,4.34319,0.58529,0.0
masked,22.80405,71.09769,5.27371,0.82455,0.0
masked,20.40913,74.08841,4.99171,0.51075,0.0
masked,13.78276,80.76809,4.81622,0.63293,0.0
masked,35.10748,59.68056,4.59229,0.61967,0.0
masked,25.63394,68.52127,5.13886,0.70593,0.0
masked,30.97312,63.67459,4.77617,0.57611,0.0
masked,30.76815,63.20241,5.37761,0.65183,0.0
masked,22.44571,70.3442,6.24589,0.96421,0.0
masked,21.79226,72.25887,5.42299,0.52588,0.0
masked,35.9266,55.91621,7.15907,0.99811,0.0
masked,23.81216,70.63536,4.8714,0.68107,0.0
masked,53.54198,38.68066,7.21889,0.55847,0.0
masked,46.60477,45.60189,6.9231,0.87024,0.0
